연월,공급업체명,공급업체유형,계약내역,계약유형
2023-05,(주)원프랜트,중소기업,"제3호기 계획예방정비공사 계약(기계/전기설비),C23P-공(2)07-00",공사
2023-11,(주) 케이티엠,중소기업,본부 그레이팅 및 작업발판 안전성 보강 공사(선착공),공사
2023-09,(주)원프랜트,중소기업,"제3호기 계획예방정비공사 계약(기계/전기설비),C23P-공(2)07-00",공사
2023-11,(주)원프랜트,중소기업,2023년 발전위탁 09월 기성고,공사
2023-09,제일이엔지건설(주),중소기업,"보령신복합 1호기 신축부지 지장물 해체공사,23-(공)친00",공사
2023-03,(주)금강토건,중소기업,보령발전본부 SLP취수로 교량 조성공사,공사
2023-10,주식회사 코펙,중소기업,제5호기 탈황설비 OH용 GGH ELEMENT(#C~E) 제작구매,구매
2023-03,(주)원프랜트,중소기업,2022년 발전위탁 12월 기성고,공사
2023-09,에스엠에이치(주),중소기업,"3부두 CSU-3B BOOM FRAME 절손부 긴급 복구공사(선착공),C23P-공(기)33-00",공사
2023-06,주식회사 나노,중소기업,"7호기 SCR 탈질촉매 1,2단 구매",구매
2023-07,가보 (주),중소기업,"인천 복합 1,2호기 발전기 보호반 종합개선자재 제작 구매",구매
2023-04,주식회사 나노,중소기업,신보령 1호기 보일러 탈질설비 2단 촉매 구매,구매
2023-02,로보트이엔지,중소기업,"제8호기 공기예열기 열소자(중온부, 저온부) 구매",구매
2023-06,(주)원프랜트,중소기업,"2022년 제4호기 간이 계획예방정비공사(기계전기설비)_원프랜트(주),C22P-공(2)17-00",공사
2023-10,(주)인코어드테크놀로지스,중소기업,23-현장-14 1차 협약금(인코어드),구매
2023-03,주식회사 코펙,중소기업,신보령 GGH HEATING ELEMENT 제작 구매,구매
2023-07,(주)아고스,중소기업,드론 탐지 시스템 구매,구매
2023-05,주식회사 코펙,중소기업,7호기 공기예열기 열소자(중온부) 구매,구매
2023-05,부경산업개발(주),중소기업,보령항로(항계 내)준설공사,공사
2023-04,주식회사 나노,중소기업,8호기 SCR 탈질촉매 제작구매,구매
2023-04,주식회사 나노,중소기업,8호기 SCR 탈질촉매 제작구매,구매
2023-07,부경산업개발(주),중소기업,보령항로(항계 내)준설공사,공사
2023-06,지이파워서비스코리아 주식회사,중소기업,"7,8호기 터빈 주제어시스템 업그레이드 자재구매(현장설치도)",구매
2023-11,지이파워서비스코리아 주식회사,중소기업,"7,8호기 터빈 주제어시스템 업그레이드 자재구매(현장설치도)",구매
2023-04,주식회사 코펙,중소기업,제6호기 탈황설비 OH용 GGH ELEMENT 제작 구매,구매
2023-06,(주) 케이티엠,중소기업,본부 그레이팅 및 작업발판 안전성 보강 공사(선착공),공사
2023-08,서울검사(주),중소기업,"2023년 신보령 보일러,터빈 비파괴검사 단가용역",용역
2023-02,디아이특수장비,중소기업,"신보령 옥내저탄장 압탄,이적용 특수 중장비 구매",구매
2023-06,대영씨엔이(주),중소기업,"기력 2,3호기 탈질촉매 구매(설치조건부)",구매
2023-03,터보파워텍(주),중소기업,제 8호기 터빈 PACKING 예비품 제작구매,구매
2023-06,(주)씨이에스,중소기업,CO2 포집설비 흡수탑 구매(설치조건부),구매
2023-12,(주)금강토건,중소기업,보령발전본부 SLP취수로 교량 조성공사,공사
2023-06,지이파워서비스코리아 주식회사,중소기업,"신보령 1,2호기 터빈제어시스템 업그레이드 자재구매",구매
2023-02,베이커휴즈코리아(주),중소기업,"보령 7,8호기 디지털 여자기 시스템 업그레이드 구매/C22P-3발78-0",구매
2023-05,대우루컴즈,중소기업,2023년도 OA기기 구매,구매
2023-05,(주)명진티에스알,중소기업,"2023년도 석탄취급 및 탈황설비용 컨베이어밸트 연간단가 구매(단)(5월초, 명진)",구매
2023-03,서림종합건설(주),중소기업,"본부 음용수 공급설비 설치공사,C22P-공(2)21-00",공사
